Key,Value
recv_start_ts, 2003331.0
recv_end_ts, 75280623.0
File size, 10.0 MB
 video duration, 80.0 s
 download duration, 73.277292 s
 total data downloaded, 10.0 MB
 total data downloaded (no duplicate), 10.0 MB 
Video duration, 10 s
 amount of data required, 1280.0 KB
 download duration, 10.796995 s
 amount of pieces downloaded, 1280
Video duration, 20 s
 amount of data required, 2560.0 KB
 download duration, 19.216491 s
 amount of pieces downloaded, 2560
Video duration, 30 s
 amount of data required, 3840.0 KB
 download duration, 27.319937 s
 amount of pieces downloaded, 3840
Video duration, 40 s
 amount of data required, 5120.0 KB
 download duration, 38.04382 s
 amount of pieces downloaded, 5120
Video duration, 50 s
 amount of data required, 6400.0 KB
 download duration, 46.499403 s
 amount of pieces downloaded, 6400
Video duration, 60 s
 amount of data required, 7680.0 KB
 download duration, 54.342551 s
 amount of pieces downloaded, 7680
Video duration, 70 s
 amount of data required, 8960.0 KB
 download duration, 63.151856 s
 amount of pieces downloaded, 8960
Video duration, 80 s
 amount of data required, 10240.0 KB
 download duration, 73.277292 s
 amount of pieces downloaded, 10240
alpha, 1.0
 belta, 0.010876425400654827
 Score, 138.2396026303 KBps 
