Key,Value
recv_start_ts, 2003543.0
recv_end_ts, 77774549.0
File size, 10.0 MB
 video duration, 80.0 s
 download duration, 75.771006 s
 total data downloaded, 10.0 MB
 total data downloaded (no duplicate), 10.0 MB 
Video duration, 10 s
 amount of data required, 1280.0 KB
 download duration, 9.116154 s
 amount of pieces downloaded, 1280
Video duration, 20 s
 amount of data required, 2560.0 KB
 download duration, 22.337469 s
 amount of pieces downloaded, 2560
Video duration, 30 s
 amount of data required, 3840.0 KB
 download duration, 32.636807 s
 amount of pieces downloaded, 3840
Video duration, 40 s
 amount of data required, 5120.0 KB
 download duration, 41.866554 s
 amount of pieces downloaded, 5120
Video duration, 50 s
 amount of data required, 6400.0 KB
 download duration, 50.52434 s
 amount of pieces downloaded, 6400
Video duration, 60 s
 amount of data required, 7680.0 KB
 download duration, 58.25099 s
 amount of pieces downloaded, 7680
Video duration, 70 s
 amount of data required, 8960.0 KB
 download duration, 66.733492 s
 amount of pieces downloaded, 8960
Video duration, 80 s
 amount of data required, 10240.0 KB
 download duration, 75.771006 s
 amount of pieces downloaded, 10240
alpha, 1.0
 belta, 0.09720301192780784
 Score, 123.1714097603 KBps 
